,Country,Year,Health (%)
68,Kosovo,2015 a 2016 (%),-14.464930621554828
69,Turkmenistan,2015 a 2016 (%),-18.33500352596221
70,Mauritius,2015 a 2016 (%),-6.710359408033828
71,"Hong Kong S.A.R., China",2015 a 2016 (%),-5.971695878730454
72,Estonia,2015 a 2016 (%),-11.973733534985332
73,Indonesia,2015 a 2016 (%),-22.602793409935263
74,Vietnam,2015 a 2016 (%),-11.407949006374206
75,Turkey,2015 a 2016 (%),-11.553599737604559
76,Kyrgyzstan,2015 a 2016 (%),-14.809181415929196
77,Nigeria,2015 a 2016 (%),-68.0889610795277
78,Bhutan,2015 a 2016 (%),-13.32241712683122
79,Azerbaijan,2015 a 2016 (%),-14.897337809352795
80,Pakistan,2015 a 2016 (%),-21.684218707496218
81,Jordan,2015 a 2016 (%),-12.818966383779195
82,Montenegro,2015 a 2016 (%),-12.393651494050006
83,China,2015 a 2016 (%),-9.915746160817063
84,Zambia,2015 a 2016 (%),-21.223766876086092
85,Romania,2015 a 2016 (%),-12.079594225516976
86,Serbia,2015 a 2016 (%),-13.704634133304827
87,Portugal,2015 a 2016 (%),-9.31911927695701
88,Latvia,2015 a 2016 (%),-11.713627013818906
89,Philippines,2015 a 2016 (%),-19.062532264170418
90,Somaliland Region,2015 a 2016 (%),-24.536731019077795
91,Morocco,2015 a 2016 (%),-2.4329822489090103
92,Macedonia,2015 a 2016 (%),-11.974981303963572
93,Mozambique,2015 a 2016 (%),
94,Albania,2015 a 2016 (%),-10.228097141100523
95,Bosnia and Herzegovina,2015 a 2016 (%),-10.514535729189067
96,Lesotho,2015 a 2016 (%),
97,Dominican Republic,2015 a 2016 (%),-13.701459034792363
98,Laos,2015 a 2016 (%),-30.264619643410008
99,Mongolia,2015 a 2016 (%),-7.962766310479852
100,Swaziland,2015 a 2016 (%),
101,Greece,2015 a 2016 (%),-9.277544126149206
102,Lebanon,2015 a 2016 (%),-9.26298736107306
103,Hungary,2015 a 2016 (%),-10.930768724062967
104,Honduras,2015 a 2016 (%),-16.00776866637895
105,Tajikistan,2015 a 2016 (%),-7.424319001725365
106,Tunisia,2015 a 2016 (%),-19.26469990378491
107,Palestinian Territories,2015 a 2016 (%),-13.892297205180649
108,Bangladesh,2015 a 2016 (%),-11.925736320723356
109,Iran,2015 a 2016 (%),-7.983668791633825
110,Ukraine,2015 a 2016 (%),-13.001929069594897
111,Iraq,2015 a 2016 (%),-15.208260703554288
112,South Africa,2015 a 2016 (%),-32.78315515746895
113,Ghana,2015 a 2016 (%),-26.04156284261935
114,Zimbabwe,2015 a 2016 (%),-52.35250186706497
115,Liberia,2015 a 2016 (%),-32.26806233735855
116,India,2015 a 2016 (%),-12.493935453822125
117,Sudan,2015 a 2016 (%),-19.304192201312432
118,Haiti,2015 a 2016 (%),-29.224907972301583
119,Congo (Kinshasa),2015 a 2016 (%),91.71935549663472
120,Nepal,2015 a 2016 (%),-11.958012448570532
121,Ethiopia,2015 a 2016 (%),-21.511746680286016
122,Sierra Leone,2015 a 2016 (%),
123,Mauritania,2015 a 2016 (%),-20.16780955566706
124,Kenya,2015 a 2016 (%),-27.242669240979843
125,Djibouti,2015 a 2016 (%),
126,Armenia,2015 a 2016 (%),-12.203041512535961
127,Botswana,2015 a 2016 (%),627.6381909547739
128,Myanmar,2015 a 2016 (%),-17.34029764125523
129,Georgia,2015 a 2016 (%),-12.191810876779208
130,Malawi,2015 a 2016 (%),30.148036521584977
131,Sri Lanka,2015 a 2016 (%),-12.426912973476822
132,Cameroon,2015 a 2016 (%),-45.739680369199206
133,Bulgaria,2015 a 2016 (%),-11.537006353638013
134,Egypt,2015 a 2016 (%),-15.549649987036563
135,Yemen,2015 a 2016 (%),-22.50399361022365
136,Angola,2015 a 2016 (%),-70.08331834801893
137,Mali,2015 a 2016 (%),-20.58009036583589
138,Congo (Brazzaville),2015 a 2016 (%),-9.143022768992958
139,Comoros,2015 a 2016 (%),-17.441828445545905
140,Uganda,2015 a 2016 (%),-42.04246773574318
141,Senegal,2015 a 2016 (%),-7.080845199816266
142,Gabon,2015 a 2016 (%),-19.441114082818412
143,Niger,2015 a 2016 (%),-11.933214393913882
144,Cambodia,2015 a 2016 (%),-30.467650620152508
145,Tanzania,2015 a 2016 (%),-6.5811853984037665
146,Madagascar,2015 a 2016 (%),-20.573189786177526
147,Central African Republic,2015 a 2016 (%),
148,Chad,2015 a 2016 (%),-74.52365089940041
149,Guinea,2015 a 2016 (%),-21.57524261735182
150,Ivory Coast,2015 a 2016 (%),-70.52354297003622
151,Burkina Faso,2015 a 2016 (%),-21.485714285714288
152,Afghanistan,2015 a 2016 (%),-42.82511949892863
153,Rwanda,2015 a 2016 (%),-25.66022769690184
154,Benin,2015 a 2016 (%),-34.10216233155751
155,Syria,2015 a 2016 (%),-12.742232626431916
156,Burundi,2015 a 2016 (%),-29.68833720307198
157,Togo,2015 a 2016 (%),-12.769398446014845
158,Puerto Rico,2015 a 2016 (%),
159,Belize,2015 a 2016 (%),
160,Somalia,2015 a 2016 (%),
161,Namibia,2015 a 2016 (%),
162,South Sudan,2015 a 2016 (%),
163,Gambia,2015 a 2016 (%),
164,Switzerland,2016 a 2017 (%),-0.5676176399294297
165,Iceland,2016 a 2017 (%),-3.89446668325909
166,Denmark,2016 a 2017 (%),-0.3112391102216172
167,Norway,2016 a 2017 (%),0.11014249394638576
168,Canada,2016 a 2017 (%),0.8407023288363957
169,Finland,2016 a 2017 (%),-0.21609432067430934
170,Netherlands,2016 a 2017 (%),-0.19867722537971755
171,Sweden,2016 a 2017 (%),-0.040283645536387525
172,New Zealand,2016 a 2017 (%),-1.708902288495484
173,Australia,2016 a 2017 (%),-0.8591643961748163
174,Israel,2016 a 2017 (%),-1.2678262532296203
175,Costa Rica,2016 a 2017 (%),-0.2561834603497237
176,Austria,2016 a 2017 (%),1.2013180920408484
177,Mexico,2016 a 2017 (%),-0.20395573600114902
178,United States,2016 a 2017 (%),-0.6050542016084792
179,Brazil,2016 a 2017 (%),0.39116712615370197
180,Luxembourg,2016 a 2017 (%),-0.039093565087522375
181,Ireland,2016 a 2017 (%),-0.5852772396181871
182,Belgium,2016 a 2017 (%),-0.18279025436522822
183,United Arab Emirates,2016 a 2017 (%),-0.42904985819365304
184,United Kingdom,2016 a 2017 (%),-0.5647616487620799
185,Oman,2016 a 2017 (%),
186,Venezuela,2016 a 2017 (%),-0.3062440184975257
187,Singapore,2016 a 2017 (%),0.24307635470857125
188,Panama,2016 a 2017 (%),-0.30971488594507823
189,Germany,2016 a 2017 (%),-1.9535960638748517
190,Chile,2016 a 2017 (%),0.07934539564966592
191,Qatar,2016 a 2017 (%),-0.9943689210395679
192,France,2016 a 2017 (%),0.7775943413989017
193,Argentina,2016 a 2017 (%),-0.28301365201675033
194,Czech Republic,2016 a 2017 (%),-1.219754490263425
195,Uruguay,2016 a 2017 (%),-0.36202103294668
196,Colombia,2016 a 2017 (%),-0.261834160146146
197,Thailand,2016 a 2017 (%),-0.29438043479920184
198,Saudi Arabia,2016 a 2017 (%),-0.4254762794131617
199,Spain,2016 a 2017 (%),1.1377764516351085
200,Malta,2016 a 2017 (%),2.34006558617581
201,Taiwan Province of China,2016 a 2017 (%),-0.2093590984681648
202,Kuwait,2016 a 2017 (%),-0.563842734311848
203,Suriname,2016 a 2017 (%),
204,Trinidad & Tobago,2016 a 2017 (%),-1.1588937754757778
205,El Salvador,2016 a 2017 (%),0.003112882575684317
206,Guatemala,2016 a 2017 (%),-0.02775962591130554
207,Uzbekistan,2016 a 2017 (%),-0.6692925877465505
208,Slovakia,2016 a 2017 (%),1.2879490542333727
209,Japan,2016 a 2017 (%),-0.15675081853723238
210,South Korea,2016 a 2017 (%),1.5527188270263448
211,Ecuador,2016 a 2017 (%),-0.07196560964861654
212,Bahrain,2016 a 2017 (%),-0.5825263781484513
213,Italy,2016 a 2017 (%),0.24962370657493071
214,Bolivia,2016 a 2017 (%),0.8367573983979026
215,Moldova,2016 a 2017 (%),12.689059416358761
216,Paraguay,2016 a 2017 (%),-0.6345838714764462
217,Kazakhstan,2016 a 2017 (%),5.6079097055539595
218,Slovenia,2016 a 2017 (%),-0.08613561460677488
219,Lithuania,2016 a 2017 (%),-2.75072823628969
220,Nicaragua,2016 a 2017 (%),0.14812393496159704
221,Peru,2016 a 2017 (%),0.03589443067861797
222,Belarus,2016 a 2017 (%),1.0576614441301535
223,Poland,2016 a 2017 (%),1.2880981198062358
224,Malaysia,2016 a 2017 (%),-0.7817676870695456
225,Croatia,2016 a 2017 (%),-0.5603026927251675
226,Libya,2016 a 2017 (%),-0.5489026271227715
227,Russia,2016 a 2017 (%),-7.2147728021015105
228,Jamaica,2016 a 2017 (%),7.791014506165883
229,North Cyprus,2016 a 2017 (%),-0.8049204612979199
230,Cyprus,2016 a 2017 (%),-0.4813028775106032
231,Algeria,2016 a 2017 (%),-0.07367714902951628
232,Kosovo,2016 a 2017 (%),0.2688981868601781
233,Turkmenistan,2016 a 2017 (%),-0.5303639463634546
234,Mauritius,2016 a 2017 (%),-3.608233690690432
235,"Hong Kong S.A.R., China",2016 a 2017 (%),-1.0188791985758394
236,Estonia,2016 a 2017 (%),2.083514400465214
237,Indonesia,2016 a 2017 (%),-0.28239143485316864
238,Vietnam,2016 a 2017 (%),-1.421015284623095
239,Turkey,2016 a 2017 (%),-1.4794017878159038
240,Kyrgyzstan,2016 a 2017 (%),-0.1861536594638391
241,Nigeria,2016 a 2017 (%),11.424687231716524
242,Bhutan,2016 a 2017 (%),-0.34379861168873926
243,Azerbaijan,2016 a 2017 (%),-0.7823690170585484
244,Pakistan,2016 a 2017 (%),-0.25113304809010195
245,Jordan,2016 a 2017 (%),-0.41671196357870866
246,Montenegro,2016 a 2017 (%),5.057949966023179
247,China,2016 a 2017 (%),0.7892090429533427
248,Zambia,2016 a 2017 (%),9.377633234240035
249,Romania,2016 a 2017 (%),1.351781355686077
250,Serbia,2016 a 2017 (%),0.7718599112124469
251,Portugal,2016 a 2017 (%),0.27891355192748435
252,Latvia,2016 a 2017 (%),-0.14902257549490594
253,Philippines,2016 a 2017 (%),-0.4998182964544129
254,Somaliland Region,2016 a 2017 (%),
255,Morocco,2016 a 2017 (%),0.5045600445057419
256,Macedonia,2016 a 2017 (%),-0.3756395795044609
257,Mozambique,2016 a 2017 (%),
258,Albania,2016 a 2017 (%),0.14926604940361798
259,Bosnia and Herzegovina,2016 a 2017 (%),-0.34955947343822125
260,Lesotho,2016 a 2017 (%),
261,Dominican Republic,2016 a 2017 (%),-0.31494469447416185
262,Laos,2016 a 2017 (%),
263,Mongolia,2016 a 2017 (%),0.5576960931192199
264,Swaziland,2016 a 2017 (%),
265,Greece,2016 a 2017 (%),1.2381640510066516
266,Lebanon,2016 a 2017 (%),-3.495939842983675
267,Hungary,2016 a 2017 (%),1.7281168692916404
268,Honduras,2016 a 2017 (%),-0.21590532478255042
269,Tajikistan,2016 a 2017 (%),-0.3680181125373272
270,Tunisia,2016 a 2017 (%),2.927648086915413
271,Palestinian Territories,2016 a 2017 (%),-0.48783097761397887
272,Bangladesh,2016 a 2017 (%),0.6324017350916256
273,Iran,2016 a 2017 (%),-0.4650036533530133
274,Ukraine,2016 a 2017 (%),-1.7698109910392779
275,Iraq,2016 a 2017 (%),-1.8755442889464624
276,South Africa,2016 a 2017 (%),0.5212349558841645
277,Ghana,2016 a 2017 (%),-0.39495745299956697
278,Zimbabwe,2016 a 2017 (%),23.36285510406959
279,Liberia,2016 a 2017 (%),-0.7475947345689571
280,India,2016 a 2017 (%),1.0018888103260126
281,Sudan,2016 a 2017 (%),-2.2410619266490794
282,Haiti,2016 a 2017 (%),0.8660544254411873
283,Congo (Kinshasa),2016 a 2017 (%),1.812247266160627
284,Nepal,2016 a 2017 (%),0.6791645591174955
285,Ethiopia,2016 a 2017 (%),2.2065207780189944
286,Sierra Leone,2016 a 2017 (%),
287,Mauritania,2016 a 2017 (%),-0.3633927015241456
288,Kenya,2016 a 2017 (%),2.825604430335349
289,Djibouti,2016 a 2017 (%),
290,Armenia,2016 a 2017 (%),-0.5158269769784618
291,Botswana,2016 a 2017 (%),-1.6587507549130964
292,Myanmar,2016 a 2017 (%),-0.32031878066750563
293,Georgia,2016 a 2017 (%),1.4362428137501437
294,Malawi,2016 a 2017 (%),7.304721222214949
295,Sri Lanka,2016 a 2017 (%),0.8161711089525348
296,Cameroon,2016 a 2017 (%),4.655943380263827
297,Bulgaria,2016 a 2017 (%),4.447641868603669
298,Egypt,2016 a 2017 (%),-0.1866492592681679
299,Yemen,2016 a 2017 (%),-0.12853784801983847
300,Angola,2016 a 2017 (%),-0.08281780086997204
301,Mali,2016 a 2017 (%),3.6065787344943923
302,Congo (Brazzaville),2016 a 2017 (%),2.7780497444279018
303,Comoros,2016 a 2017 (%),
304,Uganda,2016 a 2017 (%),10.895595732767905
305,Senegal,2016 a 2017 (%),1.1846781949712115
306,Gabon,2016 a 2017 (%),2.0545473628271305
307,Niger,2016 a 2017 (%),2.6316822217643754
308,Cambodia,2016 a 2017 (%),1.139785351683531
309,Tanzania,2016 a 2017 (%),2.103441035380116
310,Madagascar,2016 a 2017 (%),1.113829206297945
311,Central African Republic,2016 a 2017 (%),
312,Chad,2016 a 2017 (%),7.569861611561723
313,Guinea,2016 a 2017 (%),3.101141422779752
314,Ivory Coast,2016 a 2017 (%),8.67330134980271
315,Burkina Faso,2016 a 2017 (%),1.3496072996379782
316,Afghanistan,2016 a 2017 (%),4.212856806842136
317,Rwanda,2016 a 2017 (%),2.439920699860032
318,Benin,2016 a 2017 (%),-0.16634425260699803
319,Syria,2016 a 2017 (%),-20.542695754921112
320,Burundi,2016 a 2017 (%),-3.720840996255159
321,Togo,2016 a 2017 (%),-0.4048330791241783
322,Puerto Rico,2016 a 2017 (%),
323,Belize,2016 a 2017 (%),-1.206573323172333
324,Somalia,2016 a 2017 (%),-0.5850888600261617
325,Namibia,2016 a 2017 (%),-2.5437296303180257
326,South Sudan,2016 a 2017 (%),3.5967327011799055
327,Gambia,2016 a 2017 (%),
328,Switzerland,2017 a 2018 (%),8.025428202186324
329,Iceland,2017 a 2018 (%),9.651211453901997
330,Denmark,2017 a 2018 (%),9.5177588581161
331,Norway,2017 a 2018 (%),8.075336016889567
332,Canada,2017 a 2018 (%),7.362265188564021
333,Finland,2017 a 2018 (%),8.01355939594619
334,Netherlands,2017 a 2018 (%),8.30198552718484
335,Sweden,2017 a 2018 (%),9.88413733022313
336,New Zealand,2017 a 2018 (%),7.25308729781915
337,Australia,2017 a 2018 (%),7.834369244228201
338,Israel,2017 a 2018 (%),5.319154036108897
339,Costa Rica,2017 a 2018 (%),7.569457963777926
340,Austria,2017 a 2018 (%),9.281116542574397
341,Mexico,2017 a 2018 (%),7.186269235764398
342,United States,2017 a 2018 (%),5.7747829585199195
343,Brazil,2017 a 2018 (%),9.479754122957162
344,Luxembourg,2017 a 2018 (%),6.0242737731577956
345,Ireland,2017 a 2018 (%),8.177179130889979
346,Belgium,2017 a 2018 (%),9.278680486785573
347,United Arab Emirates,2017 a 2018 (%),-7.814856108314105
348,United Kingdom,2017 a 2018 (%),10.264543909373657
349,Oman,2017 a 2018 (%),
350,Venezuela,2017 a 2018 (%),6.458097026046672
351,Singapore,2017 a 2018 (%),6.161987751414166
352,Panama,2017 a 2018 (%),7.483311806689952
353,Germany,2017 a 2018 (%),7.766344754382004
354,Chile,2017 a 2018 (%),-1.4008527421142891
355,Qatar,2017 a 2018 (%),5.337560101092342
356,France,2017 a 2018 (%),7.5235899808199225
357,Argentina,2017 a 2018 (%),7.029248996674364
358,Czech Republic,2017 a 2018 (%),13.195942506677817
359,Uruguay,2017 a 2018 (%),7.199939534855959
360,Colombia,2017 a 2018 (%),6.717680772904799
361,Thailand,2017 a 2018 (%),9.233214914002597
362,Saudi Arabia,2017 a 2018 (%),7.261169456237293
363,Spain,2017 a 2018 (%),8.553742439127475
364,Malta,2017 a 2018 (%),7.549875097317371
365,Taiwan Province of China,2017 a 2018 (%),7.936652006685807
366,Kuwait,2017 a 2018 (%),6.78593648603012
367,Suriname,2017 a 2018 (%),
368,Trinidad & Tobago,2017 a 2018 (%),8.465023604197675
369,El Salvador,2017 a 2018 (%),7.211427734818043
370,Guatemala,2017 a 2018 (%),12.542575804666555
371,Uzbekistan,2017 a 2018 (%),21.419473295909363
372,Slovakia,2017 a 2018 (%),8.876689697344208
373,Japan,2017 a 2018 (%),8.158302947320317
374,South Korea,2017 a 2018 (%),6.0858772836227315
375,Ecuador,2017 a 2018 (%),7.345553807519378
376,Bahrain,2017 a 2018 (%),6.869498694714227
377,Italy,2017 a 2018 (%),10.883932195782876
378,Bolivia,2017 a 2018 (%),7.256662879110531
379,Moldova,2017 a 2018 (%),5.180085109739263
380,Paraguay,2017 a 2018 (%),6.171646765547667
381,Kazakhstan,2017 a 2018 (%),4.118273629506719
382,Slovenia,2017 a 2018 (%),8.240951662569596
383,Lithuania,2017 a 2018 (%),13.840538686919878
384,Nicaragua,2017 a 2018 (%),7.1817990328126635
385,Peru,2017 a 2018 (%),6.9559256984651485
386,Belarus,2017 a 2018 (%),9.767028349192874
387,Poland,2017 a 2018 (%),11.655114399362155
388,Malaysia,2017 a 2018 (%),8.11519652303916
389,Croatia,2017 a 2018 (%),5.092266253623201
390,Libya,2017 a 2018 (%),6.311598549235953
391,Russia,2017 a 2018 (%),9.43650846923838
392,Jamaica,2017 a 2018 (%),8.108549267097608
393,North Cyprus,2017 a 2018 (%),8.908285840727515
394,Cyprus,2017 a 2018 (%),7.610297149420564
395,Algeria,2017 a 2018 (%),11.239812182793617
396,Kosovo,2017 a 2018 (%),6.749988254148165
397,Turkmenistan,2017 a 2018 (%),18.110394406184803
398,Mauritius,2017 a 2018 (%),7.208777438018621
399,"Hong Kong S.A.R., China",2017 a 2018 (%),9.218644817880373
400,Estonia,2017 a 2018 (%),6.017489959049138
401,Indonesia,2017 a 2018 (%),6.023060267193658
402,Vietnam,2017 a 2018 (%),7.640812679704312
403,Turkey,2017 a 2018 (%),7.590019899512468
404,Kyrgyzstan,2017 a 2018 (%),7.325256537598834
405,Nigeria,2017 a 2018 (%),-15.664791087955365
406,Bhutan,2017 a 2018 (%),6.275863498101009
407,Azerbaijan,2017 a 2018 (%),11.506474006890066
408,Pakistan,2017 a 2018 (%),5.4601014566933115
409,Jordan,2017 a 2018 (%),6.683858114557606
410,Montenegro,2017 a 2018 (%),9.219263419055078
411,China,2017 a 2018 (%),7.766832404954549
412,Zambia,2017 a 2018 (%),14.413860103701936
413,Romania,2017 a 2018 (%),5.960912528515561
414,Serbia,2017 a 2018 (%),5.257549878163914
415,Portugal,2017 a 2018 (%),11.07710922653835
416,Latvia,2017 a 2018 (%),5.0790333131218945
417,Philippines,2017 a 2018 (%),9.613263865548817
418,Somaliland Region,2017 a 2018 (%),
419,Morocco,2017 a 2018 (%),11.927063486040602
420,Macedonia,2017 a 2018 (%),7.140389975079531
421,Mozambique,2017 a 2018 (%),62.206099875123954
422,Albania,2017 a 2018 (%),8.047523625714081
423,Bosnia and Herzegovina,2017 a 2018 (%),7.489324737768754
424,Lesotho,2017 a 2018 (%),
425,Dominican Republic,2017 a 2018 (%),6.80606043828258
426,Laos,2017 a 2018 (%),
427,Mongolia,2017 a 2018 (%),3.0865947129606663
428,Swaziland,2017 a 2018 (%),
429,Greece,2017 a 2018 (%),8.491877322263264
430,Lebanon,2017 a 2018 (%),6.790941158135699
431,Hungary,2017 a 2018 (%),6.4319421608360905
432,Honduras,2017 a 2018 (%),6.768380667930263
433,Tajikistan,2017 a 2018 (%),12.99325615727367
434,Tunisia,2017 a 2018 (%),12.522250845670403
435,Palestinian Territories,2017 a 2018 (%),6.423041843596966
436,Bangladesh,2017 a 2018 (%),8.581291304785243
437,Iran,2017 a 2018 (%),8.08135920250086
438,Ukraine,2017 a 2018 (%),5.746799923204748
439,Iraq,2017 a 2018 (%),6.9475033635953976
440,South Africa,2017 a 2018 (%),76.39505872328145
441,Ghana,2017 a 2018 (%),13.990864314317708
442,Zimbabwe,2017 a 2018 (%),26.03947378305986
443,Liberia,2017 a 2018 (%),16.128259406674772
444,India,2017 a 2018 (%),6.4933223353682346
445,Sudan,2017 a 2018 (%),7.2456745829585945
446,Haiti,2017 a 2018 (%),4.211316303637158
447,Congo (Kinshasa),2017 a 2018 (%),6.579160377631732
448,Nepal,2017 a 2018 (%),6.916701109765744
449,Ethiopia,2017 a 2018 (%),10.636462907247202
450,Sierra Leone,2017 a 2018 (%),
451,Mauritania,2017 a 2018 (%),2.330729681966104
452,Kenya,2017 a 2018 (%),46.45711700918043
453,Djibouti,2017 a 2018 (%),
454,Armenia,2017 a 2018 (%),4.466585570058013
455,Botswana,2017 a 2018 (%),22.017052705527583
456,Myanmar,2017 a 2018 (%),7.918401060857394
457,Georgia,2017 a 2018 (%),-1.0079303038561527
458,Malawi,2017 a 2018 (%),-2.884761628397614
459,Sri Lanka,2017 a 2018 (%),7.497497386287422
460,Cameroon,2017 a 2018 (%),36.95319499735288
461,Bulgaria,2017 a 2018 (%),0.5340617228476896
462,Egypt,2017 a 2018 (%),6.3078710078977585
463,Yemen,2017 a 2018 (%),10.61628840889357
464,Angola,2017 a 2018 (%),439.4168794603644
465,Mali,2017 a 2018 (%),-10.25336115681762
466,Congo (Brazzaville),2017 a 2018 (%),18.293225091853493
467,Comoros,2017 a 2018 (%),
468,Uganda,2017 a 2018 (%),8.899123010443532
469,Senegal,2017 a 2018 (%),5.774131013113126
470,Gabon,2017 a 2018 (%),13.299007019929743
471,Niger,2017 a 2018 (%),-17.692410117150438
472,Cambodia,2017 a 2018 (%),6.3326307812877625
473,Tanzania,2017 a 2018 (%),4.524086547337336
474,Madagascar,2017 a 2018 (%),7.136201448642843
475,Central African Republic,2017 a 2018 (%),-46.731117469855775
476,Chad,2017 a 2018 (%),28.84494251774321
477,Guinea,2017 a 2018 (%),8.690535014928734
478,Ivory Coast,2017 a 2018 (%),64.46634786118975
479,Burkina Faso,2017 a 2018 (%),17.677440933463394
480,Afghanistan,2017 a 2018 (%),41.08135239166049
481,Rwanda,2017 a 2018 (%),22.539706248489733
482,Benin,2017 a 2018 (%),14.32370715361504
483,Syria,2017 a 2018 (%),7.685133912771813
484,Burundi,2017 a 2018 (%),-4.360370135795333
485,Togo,2017 a 2018 (%),2.3853899306600646
486,Puerto Rico,2017 a 2018 (%),
487,Belize,2017 a 2018 (%),5.2884649994051625
488,Somalia,2017 a 2018 (%),0.8868063330482734
489,Namibia,2017 a 2018 (%),7.793050245790112
490,South Sudan,2017 a 2018 (%),8.266148663429407
491,Gambia,2017 a 2018 (%),
492,Switzerland,2018 a 2019 (%),13.48435814455231
493,Iceland,2018 a 2019 (%),12.253829321663012
494,Denmark,2018 a 2019 (%),14.746543778801847
495,Norway,2018 a 2019 (%),19.396051103368173
496,Canada,2018 a 2019 (%),15.95982142857142
497,Finland,2018 a 2019 (%),12.814645308924488
498,Netherlands,2018 a 2019 (%),13.781321184510254
499,Sweden,2018 a 2019 (%),10.514786418400867
500,New Zealand,2018 a 2019 (%),17.12328767123288
501,Australia,2018 a 2019 (%),13.846153846153841
502,Israel,2018 a 2019 (%),16.534541336353325
503,Costa Rica,2018 a 2019 (%),17.870257037943695
504,Austria,2018 a 2019 (%),14.029180695847355
505,Mexico,2018 a 2019 (%),13.140604467805517
506,United States,2018 a 2019 (%),6.715506715506714
507,Brazil,2018 a 2019 (%),18.814814814814817
508,Luxembourg,2018 a 2019 (%),12.94642857142858
509,Ireland,2018 a 2019 (%),14.04109589041096
510,Belgium,2018 a 2019 (%),10.290827740492169
511,United Arab Emirates,2018 a 2019 (%),23.134328358208943
512,United Kingdom,2018 a 2019 (%),12.162162162162172
513,Oman,2018 a 2019 (%),
514,Venezuela,2018 a 2019 (%),22.526636225266362
515,Singapore,2018 a 2019 (%),13.194444444444443
516,Panama,2018 a 2019 (%),19.894598155467726
517,Germany,2018 a 2019 (%),14.634146341463406
518,Chile,2018 a 2019 (%),13.861386138613852
