,Country,Year,Delta GDP (%)
83,China,2015 a 2016 (%),15.467577405293675
84,Zambia,2015 a 2016 (%),30.111824482333425
85,Romania,2015 a 2016 (%),12.09928602232977
86,Serbia,2015 a 2016 (%),12.366788697815402
87,Portugal,2015 a 2016 (%),10.014570095955722
88,Latvia,2015 a 2016 (%),9.411384217335051
89,Philippines,2015 a 2016 (%),15.149152157885792
90,Somaliland Region,2015 a 2016 (%),35.60778903804318
91,Morocco,2015 a 2016 (%),14.397310796281925
92,Macedonia,2015 a 2016 (%),10.973206606351592
93,Mozambique,2015 a 2016 (%),
94,Albania,2015 a 2016 (%),8.721135352293818
95,Bosnia and Herzegovina,2015 a 2016 (%),12.208163608617806
96,Lesotho,2015 a 2016 (%),
97,Dominican Republic,2015 a 2016 (%),14.798351519483566
98,Laos,2015 a 2016 (%),15.196559780584451
99,Mongolia,2015 a 2016 (%),19.360291720498935
100,Swaziland,2015 a 2016 (%),
101,Greece,2015 a 2016 (%),8.214477583487856
102,Lebanon,2015 a 2016 (%),9.461409461409431
103,Hungary,2015 a 2016 (%),10.748122111799008
104,Honduras,2015 a 2016 (%),16.624672445071553
105,Tajikistan,2015 a 2016 (%),25.067226675544863
106,Tunisia,2015 a 2016 (%),10.907584578893026
107,Palestinian Territories,2015 a 2016 (%),11.954833213623516
108,Bangladesh,2015 a 2016 (%),36.28405403365784
109,Iran,2015 a 2016 (%),10.783108643933392
110,Ukraine,2015 a 2016 (%),9.23573654373211
111,Iraq,2015 a 2016 (%),9.056408487148527
112,South Africa,2015 a 2016 (%),11.262479766211463
113,Ghana,2015 a 2016 (%),15.669562667253212
114,Zimbabwe,2015 a 2016 (%),29.30258302583024
115,Liberia,2015 a 2016 (%),50.36516853932584
116,India,2015 a 2016 (%),14.786275756213296
117,Sudan,2015 a 2016 (%),21.0374805688295
118,Haiti,2015 a 2016 (%),27.83338956997712
119,Congo (Kinshasa),2015 a 2016 (%),
120,Nepal,2015 a 2016 (%),23.9714420646165
121,Ethiopia,2015 a 2016 (%),53.53116971635294
122,Sierra Leone,2015 a 2016 (%),10.480256782945752
123,Mauritania,2015 a 2016 (%),35.20162089545664
124,Kenya,2015 a 2016 (%),43.31112390666556
125,Djibouti,2015 a 2016 (%),
126,Armenia,2015 a 2016 (%),12.060504289191766
127,Botswana,2015 a 2016 (%),10.136379648734328
128,Myanmar,2015 a 2016 (%),25.837391176036583
129,Georgia,2015 a 2016 (%),12.942445073460028
130,Malawi,2015 a 2016 (%),442.9551122194514
131,Sri Lanka,2015 a 2016 (%),16.515013648771614
132,Cameroon,2015 a 2016 (%),24.25325443786983
133,Bulgaria,2015 a 2016 (%),9.96877963958267
134,Egypt,2015 a 2016 (%),8.182127466545698
135,Yemen,2015 a 2016 (%),6.020238247726395
136,Angola,2015 a 2016 (%),11.814774736730982
137,Mali,2015 a 2016 (%),20.012272762138505
138,Congo (Brazzaville),2015 a 2016 (%),13.61948545663514
139,Comoros,2015 a 2016 (%),15.071530159792523
140,Uganda,2015 a 2016 (%),64.5294284901905
141,Senegal,2015 a 2016 (%),21.41487204778343
142,Gabon,2015 a 2016 (%),9.26865615332375
143,Niger,2015 a 2016 (%),91.21037463976947
144,Cambodia,2015 a 2016 (%),20.778487336548057
145,Tanzania,2015 a 2016 (%),65.34011220196354
146,Madagascar,2015 a 2016 (%),34.23933922397233
147,Central African Republic,2015 a 2016 (%),
148,Chad,2015 a 2016 (%),23.45801772292575
149,Guinea,2015 a 2016 (%),28.696101510018956
150,Ivory Coast,2015 a 2016 (%),19.282675033308983
151,Burkina Faso,2015 a 2016 (%),23.95397489539748
152,Afghanistan,2015 a 2016 (%),19.526608717403548
153,Rwanda,2015 a 2016 (%),47.90165706051872
154,Benin,2015 a 2016 (%),37.79522065236351
155,Syria,2015 a 2016 (%),12.66435464414959
156,Burundi,2015 a 2016 (%),346.47058823529414
157,Togo,2015 a 2016 (%),34.76614912785125
158,Puerto Rico,2015 a 2016 (%),
159,Belize,2015 a 2016 (%),
160,Somalia,2015 a 2016 (%),
161,Namibia,2015 a 2016 (%),
162,South Sudan,2015 a 2016 (%),
163,Gambia,2015 a 2016 (%),
164,Switzerland,2016 a 2017 (%),2.465056878517413
165,Iceland,2016 a 2017 (%),3.7831733139640944
166,Denmark,2016 a 2017 (%),2.816172562499819
167,Norway,2016 a 2017 (%),2.473830025654844
168,Canada,2016 a 2017 (%),2.711829759054263
169,Finland,2016 a 2017 (%),2.6737169208146616
170,Netherlands,2016 a 2017 (%),2.680765449875744
171,Sweden,2016 a 2017 (%),2.9327025588802735
172,New Zealand,2016 a 2017 (%),3.310602796567852
173,Australia,2016 a 2017 (%),2.768215497601112
174,Israel,2016 a 2017 (%),2.820030755265157
175,Costa Rica,2016 a 2017 (%),3.828280823703456
176,Austria,2016 a 2017 (%),2.5315616139342856
177,Mexico,2016 a 2017 (%),3.4171375922319225
178,United States,2016 a 2017 (%),2.5398076884977083
179,Brazil,2016 a 2017 (%),1.8218373990124714
180,Luxembourg,2016 a 2017 (%),2.616970509542149
181,Ireland,2016 a 2017 (%),3.5254339184622063
182,Belgium,2016 a 2017 (%),2.6933513470053683
183,United Arab Emirates,2016 a 2017 (%),3.357019261525118
184,United Kingdom,2016 a 2017 (%),2.766118470737
185,Oman,2016 a 2017 (%),
186,Venezuela,2016 a 2017 (%),-0.4621096984889772
187,Singapore,2016 a 2017 (%),2.83963841309105
188,Panama,2016 a 2017 (%),4.284519464280767
189,Germany,2016 a 2017 (%),2.7663660213119945
190,Chile,2016 a 2017 (%),2.9657770851171383
191,Qatar,2016 a 2017 (%),2.5487283151704565
192,France,2016 a 2017 (%),2.5839829887918775
193,Argentina,2016 a 2017 (%),2.946530012796944
194,Czech Republic,2016 a 2017 (%),3.325237907500278
195,Uruguay,2016 a 2017 (%),3.045921548773234
196,Colombia,2016 a 2017 (%),3.9116318176430687
197,Thailand,2016 a 2017 (%),3.540693248236493
198,Saudi Arabia,2016 a 2017 (%),2.7588269577255797
199,Spain,2016 a 2017 (%),3.1185794240530917
200,Malta,2016 a 2017 (%),2.711369956263865
201,Taiwan Province of China,2016 a 2017 (%),2.600500436890707
202,Kuwait,2016 a 2017 (%),0.9778035115036277
203,Suriname,2016 a 2017 (%),
204,Trinidad & Tobago,2016 a 2017 (%),2.688041273004105
205,El Salvador,2016 a 2017 (%),4.1300784972571725
206,Guatemala,2016 a 2017 (%),4.488933540925899
207,Uzbekistan,2016 a 2017 (%),6.866476569523172
208,Slovakia,2016 a 2017 (%),3.568218104484533
209,Japan,2016 a 2017 (%),2.6698050315527633
210,South Korea,2016 a 2017 (%),3.104013516566617
211,Ecuador,2016 a 2017 (%),2.852896874878219
212,Bahrain,2016 a 2017 (%),3.3447384470102204
213,Italy,2016 a 2017 (%),2.9607453352057167
214,Bolivia,2016 a 2017 (%),4.978037073816832
215,Moldova,2016 a 2017 (%),5.363145303248484
216,Paraguay,2016 a 2017 (%),4.342174624998707
217,Kazakhstan,2016 a 2017 (%),4.483888439820882
218,Slovenia,2016 a 2017 (%),3.2117674553240994
219,Lithuania,2016 a 2017 (%),3.575665605883227
220,Nicaragua,2016 a 2017 (%),6.263577175239399
221,Peru,2016 a 2017 (%),3.936193267067911
222,Belarus,2016 a 2017 (%),2.2941005790663382
223,Poland,2016 a 2017 (%),3.6872707611438127
224,Malaysia,2016 a 2017 (%),3.180021077599049
225,Croatia,2016 a 2017 (%),3.039741877813551
226,Libya,2016 a 2017 (%),3.273382605945363
227,Russia,2016 a 2017 (%),4.016789784197572
228,Jamaica,2016 a 2017 (%),3.610010798193386
229,North Cyprus,2016 a 2017 (%),2.7071099922678643
230,Cyprus,2016 a 2017 (%),2.833985072689349
231,Algeria,2016 a 2017 (%),3.724323776640137
232,Kosovo,2016 a 2017 (%),5.550433429758406
233,Turkmenistan,2016 a 2017 (%),4.685073920062566
234,Mauritius,2016 a 2017 (%),3.9935951905317735
235,"Hong Kong S.A.R., China",2016 a 2017 (%),2.7123083891222644
236,Estonia,2016 a 2017 (%),3.2227298436911855
237,Indonesia,2016 a 2017 (%),4.678940143270727
238,Vietnam,2016 a 2017 (%),6.5072295573544325
239,Turkey,2016 a 2017 (%),2.8632330124111594
240,Kyrgyzstan,2016 a 2017 (%),6.384283078320063
241,Nigeria,2016 a 2017 (%),4.200736027376606
242,Bhutan,2016 a 2017 (%),3.836799403267044
243,Azerbaijan,2016 a 2017 (%),2.6582689465111775
244,Pakistan,2016 a 2017 (%),5.627111517199501
245,Jordan,2016 a 2017 (%),-0.5736363480327689
246,Montenegro,2016 a 2017 (%),3.9641903549500146
247,China,2016 a 2017 (%),5.192234924874484
248,Zambia,2016 a 2017 (%),3.9846376408035677
249,Romania,2016 a 2017 (%),4.102240858643258
250,Serbia,2016 a 2017 (%),3.3786342671781044
251,Portugal,2016 a 2017 (%),3.064510166064549
252,Latvia,2016 a 2017 (%),3.519938319180871
253,Philippines,2016 a 2017 (%),5.605872589745986
254,Somaliland Region,2016 a 2017 (%),
255,Morocco,2016 a 2017 (%),4.4653193161975135
256,Macedonia,2016 a 2017 (%),4.442061917606188
257,Mozambique,2016 a 2017 (%),
258,Albania,2016 a 2017 (%),4.280619000834496
259,Bosnia and Herzegovina,2016 a 2017 (%),5.202169305895299
260,Lesotho,2016 a 2017 (%),
261,Dominican Republic,2016 a 2017 (%),5.010734481727264
262,Laos,2016 a 2017 (%),
263,Mongolia,2016 a 2017 (%),3.9154973134816418
264,Swaziland,2016 a 2017 (%),
265,Greece,2016 a 2017 (%),3.2531653762031043
266,Lebanon,2016 a 2017 (%),-4.248091111598118
267,Hungary,2016 a 2017 (%),3.592010301139026
268,Honduras,2016 a 2017 (%),5.225931200651335
269,Tajikistan,2016 a 2017 (%),7.446224110707678
270,Tunisia,2016 a 2017 (%),3.0725109694772934
271,Palestinian Territories,2016 a 2017 (%),6.864589926564224
272,Bangladesh,2016 a 2017 (%),8.290044722337164
273,Iran,2016 a 2017 (%),3.515909998074407
274,Ukraine,2016 a 2017 (%),2.4954402609403514
275,Iraq,2016 a 2017 (%),2.6025350743779985
276,South Africa,2016 a 2017 (%),2.981829565030858
277,Ghana,2016 a 2017 (%),5.729130592257281
278,Zimbabwe,2016 a 2017 (%),7.259077927976376
279,Liberia,2016 a 2017 (%),11.191661730227898
280,India,2016 a 2017 (%),7.004869002900205
281,Sudan,2016 a 2017 (%),4.570659462106574
282,Haiti,2016 a 2017 (%),8.106362105401942
283,Congo (Kinshasa),2016 a 2017 (%),62.69625296674421
284,Nepal,2016 a 2017 (%),7.520322650517408
285,Ethiopia,2016 a 2017 (%),15.846684244215425
286,Sierra Leone,2016 a 2017 (%),0.9787388561490973
287,Mauritania,2016 a 2017 (%),5.627419123660649
288,Kenya,2016 a 2017 (%),7.233907082242919
289,Djibouti,2016 a 2017 (%),
290,Armenia,2016 a 2017 (%),4.615934979164216
291,Botswana,2016 a 2017 (%),2.543650901788408
292,Myanmar,2016 a 2017 (%),7.619181051710555
293,Georgia,2016 a 2017 (%),13.449095882986084
294,Malawi,2016 a 2017 (%),168.04689206298428
295,Sri Lanka,2016 a 2017 (%),3.768074188360826
296,Cameroon,2016 a 2017 (%),7.492878656990309
297,Bulgaria,2016 a 2017 (%),4.348291046798924
298,Egypt,2016 a 2017 (%),3.7477653439836445
299,Yemen,2016 a 2017 (%),2.121791429087838
300,Angola,2016 a 2017 (%),1.3121738463777177
301,Mali,2016 a 2017 (%),52.17323719533269
302,Congo (Brazzaville),2016 a 2017 (%),4.911781046560582
303,Comoros,2016 a 2017 (%),
304,Uganda,2016 a 2017 (%),9.86224122886461
305,Senegal,2016 a 2017 (%),8.16198547335041
306,Gabon,2016 a 2017 (%),3.4268361438744677
307,Niger,2016 a 2017 (%),22.023610217102487
308,Cambodia,2016 a 2017 (%),8.22334655557011
309,Tanzania,2016 a 2017 (%),8.39484173019638
310,Madagascar,2016 a 2017 (%),9.397114248603767
311,Central African Republic,2016 a 2017 (%),
312,Chad,2016 a 2017 (%),3.760123981441943
313,Guinea,2016 a 2017 (%),9.101017218680795
314,Ivory Coast,2016 a 2017 (%),8.643760360208464
315,Burkina Faso,2016 a 2017 (%),9.463264130301607
316,Afghanistan,2016 a 2017 (%),5.024516094450249
317,Rwanda,2016 a 2017 (%),12.265083492655116
318,Benin,2016 a 2017 (%),9.138309256922206
319,Syria,2016 a 2017 (%),4.010109121643479
320,Burundi,2016 a 2017 (%),34.127607476116225
321,Togo,2016 a 2017 (%),8.610289587606946
322,Puerto Rico,2016 a 2017 (%),
323,Belize,2016 a 2017 (%),3.631222156645819
324,Somalia,2016 a 2017 (%),
325,Namibia,2016 a 2017 (%),3.383571740439506
326,South Sudan,2016 a 2017 (%),0.8398806303777206
327,Gambia,2016 a 2017 (%),
328,Switzerland,2017 a 2018 (%),-9.263990249847875
329,Iceland,2017 a 2018 (%),-9.29555254439246
330,Denmark,2017 a 2018 (%),-8.86295995297216
331,Norway,2017 a 2018 (%),-9.926807236290392
332,Canada,2017 a 2018 (%),-10.086801704577875
333,Finland,2017 a 2018 (%),-9.5992394107829
334,Netherlands,2017 a 2018 (%),-9.504647446949011
335,Sweden,2017 a 2018 (%),-9.327386006940552
336,New Zealand,2017 a 2018 (%),-9.79621935941375
337,Australia,2017 a 2018 (%),-9.72874441613616
338,Israel,2017 a 2018 (%),-5.408126651564748
339,Costa Rica,2017 a 2018 (%),-8.984925486827466
340,Austria,2017 a 2018 (%),-9.82432467183908
341,Mexico,2017 a 2018 (%),-9.988331095112368
342,United States,2017 a 2018 (%),-9.588255058625938
343,Brazil,2017 a 2018 (%),-10.958852993255041
344,Luxembourg,2017 a 2018 (%),-9.526347351531427
345,Ireland,2017 a 2018 (%),-5.711158436510844
346,Belgium,2017 a 2018 (%),-9.549296213732173
347,United Arab Emirates,2017 a 2018 (%),28.878073310255225
348,United Kingdom,2017 a 2018 (%),-13.70902378854002
349,Oman,2017 a 2018 (%),
350,Venezuela,2017 a 2018 (%),-11.735868422106254
351,Singapore,2017 a 2018 (%),-9.64839711651042
352,Panama,2017 a 2018 (%),-9.868173480438259
353,Germany,2017 a 2018 (%),-9.94159950250001
354,Chile,2017 a 2018 (%),-9.721113177993557
355,Qatar,2017 a 2018 (%),-11.854273770926548
356,France,2017 a 2018 (%),-9.638772833423825
357,Argentina,2017 a 2018 (%),-9.474048129841373
358,Czech Republic,2017 a 2018 (%),-8.847779516250897
359,Uruguay,2017 a 2018 (%),-10.230274189463406
360,Colombia,2017 a 2018 (%),-10.332525519619985
361,Thailand,2017 a 2018 (%),-9.91859818930887
362,Saudi Arabia,2017 a 2018 (%),-9.905999072727024
363,Spain,2017 a 2018 (%),-9.635803967753798
364,Malta,2017 a 2018 (%),-5.455292073798745
365,Taiwan Province of China,2017 a 2018 (%),-4.786918419565101
366,Kuwait,2017 a 2018 (%),-9.734052668825344
367,Suriname,2017 a 2018 (%),
368,Trinidad & Tobago,2017 a 2018 (%),-10.163095534883727
369,El Salvador,2017 a 2018 (%),-11.40759117199418
370,Guatemala,2017 a 2018 (%),-10.435979689352525
371,Uzbekistan,2017 a 2018 (%),-8.575478669109305
372,Slovakia,2017 a 2018 (%),-8.706361736204215
373,Japan,2017 a 2018 (%),-8.674843786098286
374,South Korea,2017 a 2018 (%),-9.679712464506663
375,Ecuador,2017 a 2018 (%),-11.172873626197056
376,Bahrain,2017 a 2018 (%),-10.105551059303474
377,Italy,2017 a 2018 (%),-9.39500789008163
378,Bolivia,2017 a 2018 (%),-9.925746844785465
379,Moldova,2017 a 2018 (%),-9.860546889949774
380,Paraguay,2017 a 2018 (%),-10.459347360051341
381,Kazakhstan,2017 a 2018 (%),-11.019857439544822
382,Slovenia,2017 a 2018 (%),-9.111647181177895
383,Lithuania,2017 a 2018 (%),-8.944464229296745
384,Nicaragua,2017 a 2018 (%),-9.399061264231035
385,Peru,2017 a 2018 (%),-9.77809129076027
386,Belarus,2017 a 2018 (%),-10.164436603604077
387,Poland,2017 a 2018 (%),-8.963380607148085
388,Malaysia,2017 a 2018 (%),-10.084716909015567
389,Croatia,2017 a 2018 (%),-8.797651221851432
390,Libya,2017 a 2018 (%),-10.601083635178322
391,Russia,2017 a 2018 (%),-10.202865647588698
392,Jamaica,2017 a 2018 (%),-11.514875967276994
393,North Cyprus,2017 a 2018 (%),-8.754200085301955
394,Cyprus,2017 a 2018 (%),-9.361642624295985
395,Algeria,2017 a 2018 (%),-10.336856827266194
396,Kosovo,2017 a 2018 (%),-10.140406291722737
397,Turkmenistan,2017 a 2018 (%),-10.150258364140308
398,Mauritius,2017 a 2018 (%),-8.356811757964977
399,"Hong Kong S.A.R., China",2017 a 2018 (%),-9.452679052689717
400,Estonia,2017 a 2018 (%),-9.151429392187094
401,Indonesia,2017 a 2018 (%),-9.697122048457086
402,Vietnam,2017 a 2018 (%),-9.326967422301081
403,Turkey,2017 a 2018 (%),-4.195564479945801
404,Kyrgyzstan,2017 a 2018 (%),-11.10664983290367
405,Nigeria,2017 a 2018 (%),-12.090015915739105
406,Bhutan,2017 a 2018 (%),-10.098795286809924
407,Azerbaijan,2017 a 2018 (%),-11.234532530518193
408,Pakistan,2017 a 2018 (%),-10.301998526947143
409,Jordan,2017 a 2018 (%),-17.054518730390022
410,Montenegro,2017 a 2018 (%),-9.287872547293553
411,China,2017 a 2018 (%),-8.524667665474716
412,Zambia,2017 a 2018 (%),-11.691701237429497
413,Romania,2017 a 2018 (%),-8.350599887045028
414,Serbia,2017 a 2018 (%),-8.820352447011182
415,Portugal,2017 a 2018 (%),-9.669836056955505
416,Latvia,2017 a 2018 (%),-8.942990107911431
417,Philippines,2017 a 2018 (%),-9.641983334729009
418,Somaliland Region,2017 a 2018 (%),
419,Morocco,2017 a 2018 (%),-11.287203656613954
420,Macedonia,2017 a 2018 (%),-9.917351604258185
421,Mozambique,2017 a 2018 (%),-15.494995531031442
422,Albania,2017 a 2018 (%),-8.049923375583623
423,Bosnia and Herzegovina,2017 a 2018 (%),-6.861642042470939
424,Lesotho,2017 a 2018 (%),-9.408684809077261
425,Dominican Republic,2017 a 2018 (%),-9.021326367471815
426,Laos,2017 a 2018 (%),
427,Mongolia,2017 a 2018 (%),-11.023355919100041
428,Swaziland,2017 a 2018 (%),
429,Greece,2017 a 2018 (%),-10.507079991180667
430,Lebanon,2017 a 2018 (%),-10.23151688427858
431,Hungary,2017 a 2018 (%),-8.943302252070929
432,Honduras,2017 a 2018 (%),-15.135119955702026
433,Tajikistan,2017 a 2018 (%),-9.665011926298883
434,Tunisia,2017 a 2018 (%),-10.64920555607759
435,Palestinian Territories,2017 a 2018 (%),-10.366395476682932
436,Bangladesh,2017 a 2018 (%),-9.320702593248143
437,Iran,2017 a 2018 (%),-8.460141943654143
438,Ukraine,2017 a 2018 (%),-11.362178272030688
439,Iraq,2017 a 2018 (%),-8.407509194930029
440,South Africa,2017 a 2018 (%),-10.875020994740602
441,Ghana,2017 a 2018 (%),-11.274284420245307
442,Zimbabwe,2017 a 2018 (%),-5.014422966292775
443,Liberia,2017 a 2018 (%),-36.156875620051
444,India,2017 a 2018 (%),-8.990070427446861
445,Sudan,2017 a 2018 (%),-8.26615805323775
446,Haiti,2017 a 2018 (%),-14.54388775105302
447,Congo (Kinshasa),2017 a 2018 (%),-25.08334380648466
448,Nepal,2017 a 2018 (%),-11.425153169913171
449,Ethiopia,2017 a 2018 (%),-9.207172541656982
450,Sierra Leone,2017 a 2018 (%),-30.514262343418363
451,Mauritania,2017 a 2018 (%),-14.103826162472766
452,Kenya,2017 a 2018 (%),-12.039595864636665
453,Djibouti,2017 a 2018 (%),
454,Armenia,2017 a 2018 (%),-9.393409314639378
455,Botswana,2017 a 2018 (%),-9.365894470597924
456,Myanmar,2017 a 2018 (%),85.77510214572177
457,Georgia,2017 a 2018 (%),-10.26839509891565
458,Malawi,2017 a 2018 (%),-20.322834157728476
459,Sri Lanka,2017 a 2018 (%),-9.095423206787723
460,Cameroon,2017 a 2018 (%),-5.193174989778193
461,Bulgaria,2017 a 2018 (%),-9.252076926827101
462,Egypt,2017 a 2018 (%),-10.579126632447311
463,Yemen,2017 a 2018 (%),-25.297893329381683
464,Angola,2017 a 2018 (%),-14.960853240531646
465,Mali,2017 a 2018 (%),-22.29837114436226
466,Congo (Brazzaville),2017 a 2018 (%),-15.694667852623123
467,Comoros,2017 a 2018 (%),
468,Uganda,2017 a 2018 (%),-15.580998838084415
469,Senegal,2017 a 2018 (%),-10.496155939628416
470,Gabon,2017 a 2018 (%),-13.537711002220965
471,Niger,2017 a 2018 (%),-19.0985132550356
472,Cambodia,2017 a 2018 (%),-8.768387618670248
473,Tanzania,2017 a 2018 (%),-10.982574065904672
474,Madagascar,2017 a 2018 (%),-14.325522507666333
475,Central African Republic,2017 a 2018 (%),
476,Chad,2017 a 2018 (%),-18.267263684286483
477,Guinea,2017 a 2018 (%),40.66657057126128
478,Ivory Coast,2017 a 2018 (%),-10.28920183895563
479,Burkina Faso,2017 a 2018 (%),-10.344045368105315
480,Afghanistan,2017 a 2018 (%),-17.305394830803678
481,Rwanda,2017 a 2018 (%),-9.965098978352882
482,Benin,2017 a 2018 (%),-12.314359702633082
483,Syria,2017 a 2018 (%),-11.343084194106856
484,Burundi,2017 a 2018 (%),-0.6794927014087015
485,Togo,2017 a 2018 (%),-15.205605060540517
486,Puerto Rico,2017 a 2018 (%),
487,Belize,2017 a 2018 (%),-11.120931842861559
488,Somalia,2017 a 2018 (%),
489,Namibia,2017 a 2018 (%),-9.376929386027888
490,South Sudan,2017 a 2018 (%),-15.166478081769586
491,Gambia,2017 a 2018 (%),
492,Switzerland,2018 a 2019 (%),2.2535211267605604
493,Iceland,2018 a 2019 (%),2.7550260610573307
494,Denmark,2018 a 2019 (%),2.3686158401184265
495,Norway,2018 a 2019 (%),2.19780219780219
496,Canada,2018 a 2019 (%),2.631578947368407
497,Finland,2018 a 2019 (%),2.6819923371647514
498,Netherlands,2018 a 2019 (%),2.571638501102136
499,Sweden,2018 a 2019 (%),2.361623616236175
500,New Zealand,2018 a 2019 (%),2.760252365930582
501,Australia,2018 a 2019 (%),2.3880597014925398
502,Israel,2018 a 2019 (%),-1.92159877017678
503,Costa Rica,2018 a 2019 (%),2.3762376237623783
504,Austria,2018 a 2019 (%),2.6099925428784365
505,Mexico,2018 a 2019 (%),3.0828516377649384
506,United States,2018 a 2019 (%),2.5035765379113117
507,Brazil,2018 a 2019 (%),1.8255578093306246
508,Luxembourg,2018 a 2019 (%),2.09390862944161
509,Ireland,2018 a 2019 (%),3.5220994475138268
510,Belgium,2018 a 2019 (%),2.4169184290030232
511,United Arab Emirates,2018 a 2019 (%),-28.29198473282444
512,United Kingdom,2018 a 2019 (%),7.154340836012851
513,Oman,2018 a 2019 (%),
514,Venezuela,2018 a 2019 (%),-3.6144578313253017
515,Singapore,2018 a 2019 (%),2.8122956180510306
516,Panama,2018 a 2019 (%),3.3273381294963933
517,Germany,2018 a 2019 (%),2.462686567164174
518,Chile,2018 a 2019 (%),2.4756852343059244
519,Qatar,2018 a 2019 (%),2.122498483929647
520,France,2018 a 2019 (%),2.3975251353441696
521,Argentina,2018 a 2019 (%),1.7707362534948867
522,Czech Republic,2018 a 2019 (%),2.9197080291970545
523,Uruguay,2018 a 2019 (%),2.836230558096986
524,Colombia,2018 a 2019 (%),2.604166666666674
